title,author,publisher,published_date,price,CategoryId
축의 시대,카렌 암스트롱,교양인,2010-12-20,32000,105
최초의 것,후베르트 필저,지식트리,2012-06-07,15000,119
Clean Code(클린 코드),로버트 C. 마틴,인사이트,2013-12-24,33000,122
알고리즘 문제 해결 전략 세트,구종만,인사이트,2012-11-01,50000,122
Node.js 디자인 패턴 바이블,Mario Casciaro,영진닷컴,2021-05-20,32000,122
실시간 모니터링 시스템을 만들며 정복하는 MEVN,주홍철,비제이퍼블릭,2021-10-18,32000,122
HTTP 완벽 가이드,데이빗 고울리,인사이트,2014-12-15,39000,122
생각에 관한 생각,대니얼 카너먼,김영사,2018-03-30,25000,117
대치동,조장훈,사계절,2021-11-24,18000,104
우리는 독점 기업 시대에 살고 있다,데이비드 데이옌,열린책들,2021-06-25,25000,117
반도체 애널리스트의 리서치 습관,김경민,좋은습관연구소,2022-09-05,17000,117
현명한 반도체 투자자,우황제,이레미지어,2022-04-29,19500,117
"반도체, 넥스트 시나리오",권순용,위즈덤하우스,2021-11-17,17000,117
가치투자가 쉬워지는 V차트,최준철,이콘,2016-05-26,14800,117
리스크와 보험,보험경영연구회,문영사,2019-02-15,30000,117
숫자로 경영하라,최종학,원앤원북스,2009-07-17,17000,117
재무제표분석과 기업가치평가(개정판 4판),백복현,박영사,2022-08-10,29000,117
사례와 함께하는 회계원리,최종학,신영사,2020-02-05,35000,117
국가는 왜 실패하는가,대런 애쓰모글루,시공사,2012-09-27,25000,104
스노볼 1,앨리스 슈뢰더,알에이치코리아,2021-12-22,48000,117
피터 린치의 투자 이야기,피터 린치,흐름출판,2021-12-01,19000,117
피터 린치의 이기는 투자,피터 린치,흐름출판,2021-12-08,25000,117
전설로 떠나는 월가의 영웅,피터 린치,국일증권경제연구소,2021-07-30,26000,117
줄리언 로버트슨,대니얼 스트래치먼,이콘,2011-08-25,17000,117
처음 배우는 암호화,장필리프 오마송,한빛미디어,2018-07-20,29000,122
가치투자자의 탄생,로널드 챈,에프엔미디어,2022-06-15,18000,117
워런 버핏의 주주 서한,워렌 버핏,에프엔미디어,2022-07-22,32000,117
위험한 숫자들,사너 블라우,더퀘스트,2022-03-31,17000,117
초가치,마크 카니,월북,2022-04-05,35000,117
회계원리,최종학,신영사,2022-01-05,37000,117
주식시장을 이기는 작은 책(15주년 특별판),조엘 그린블라트,알키,2021-05-25,15000,117
조로아스터교의 역사,메리 보이스,민음사,2020-06-30,28000,105
나의 투쟁,아돌프 히틀러,동서문화사,2014-09-01,25000,104
펠로폰네소스 전쟁사,투퀴디데스,숲,2011-06-30,43000,119
야수의 본능으로 부딪쳐라,유승민,나루,2022-05-27,18000,104
팅커 테일러 솔저 스파아,존 르카레,열린책들,2005-07-12,14800,101
추운 나라에서 돌아온 스파이,존 르카레,열린책들,2009-11-30,13800,101
다모다란의 투자 전략 바이블,애스워드 다모다란,에프엔미디어,2021-11-20,28000,117
프랑스혁명에 관한 성찰,에드먼드 버크,한길사,2017-02-17,30000,119
에드먼드 버크 보수의 품격,에드먼드 버크,좁쌀한알,2021-09-03,20000,104
제국(EMPIRE),니얼 퍼거슨,민음사,2006-11-30,40000,105
니얼 퍼거슨의 <서양문명의 부흥과 몰락> 세트,니얼 퍼거슨,21세기북스,2011-07-25,37500,105
슈퍼 스톡스,켄 피셔,중앙북스,2019-09-03,21000,117
투자의 배신,켄 피셔,길벗,2021-10-27,19800,117
워렌 버핏처럼 사업보고서 읽는 법,김현준,부크온,2014-04-30,27000,117
모든 주식을 소유하라,존 보글,비지니스맵,2019-04-08,14500,117
내러티브&넘버스,애스워드 다모다란,한빛비즈,2020-05-20,18000,117
강의 나의 동양고전 독법,신영복,돌베개,2004-12-11,18000,119
한국통사,박은식,아카넷,2012-02-29,20000,119
한국형 가치투자 전략,최준철,이콘,2016-03-18,14800,117
현명한 투자자,벤저민 그레이엄,국일증권경제연구소,2020-05-26,23000,117
벤저민 그레이엄의 증권분석,벤저민 그레이엄,리딩리더,2012-05-21,39000,117
